phase,loss,accuracy,length,lexicon_size,actual_vocab_size,max_rep,redund_msg,alignment,top_sim,pos_dis,bos_dis
train,0.4654093086719513,78.0,6.90234375,100000,10,4.5,,,,,
train,0.2106183022260666,89.5625,7.7265625,100000,10,4.99609375,,,,,
train,0.19231757521629333,90.0625,6.9609375,100000,10,4.55078125,,,,,
train,0.34143832325935364,83.4375,7.10546875,100000,10,4.99609375,,,,,
train,0.6110965013504028,68.6875,11.0,100000,8,7.08203125,,,,,
train,0.4410402774810791,75.1875,11.0,100000,8,6.4765625,,,,,
train,0.6417253017425537,64.4375,11.0,100000,8,6.07421875,,,,,
train,0.5424733757972717,71.5625,11.0,100000,9,6.51171875,,,,,
train,0.8132925033569336,57.96875,11.0,100000,9,7.9296875,,,,,
train,0.5523367524147034,68.6875,11.0,100000,9,8.703125,,,,,
val,0.18626965582370758,92.3125,7.80078125,34,5,5.08203125,0.5186888428720827,0.9163197018686908,0.3610060492032082,0.1587650179862976,0.02271595597267151
val,0.1909727156162262,90.9375,7.67578125,32,6,4.98828125,0.534933262285932,0.9219328460350389,0.39945188550787136,0.2941916584968567,0.03359972685575485
val,0.1597399115562439,90.5,6.4140625,30,6,4.359375,0.5358625978120297,0.9206999960900003,0.3559819425751877,0.11213012039661407,0.05687272548675537
val,0.659552812576294,71.1875,11.0,10,3,7.1796875,0.7013386585617369,0.8257206908991708,0.3685600501600299,0.2541904151439667,0.07484860718250275
val,0.5414612889289856,67.75,11.0,5,4,6.12890625,0.773833669042818,0.8896724902973886,0.36794407745657365,0.33563244342803955,0.09615347534418106
val,0.432451069355011,73.875,11.0,9,4,6.76953125,0.716887775472292,0.8789705983586509,0.30455991580056796,0.13803818821907043,0.04975747689604759
val,0.5450223684310913,69.25,11.0,8,4,5.76171875,0.737724344991007,0.8978001490179939,0.37495835121965615,0.4508868455886841,0.4714299142360687
val,0.7035262584686279,59.46875,11.0,9,5,7.05859375,0.7617468171008964,0.8598252343290573,0.3065971778898517,0.4302111268043518,0.15246440470218658
val,1.0869088172912598,47.96875,11.0,4,4,8.3671875,0.8460841005744036,0.8917951165978155,0.10839547164857578,0.006370373070240021,0.04411813244223595
val,0.39711543917655945,75.0,11.0,7,5,8.7578125,0.7237040515360352,0.940622776033198,0.405836545012244,0.46414488554000854,0.3261646330356598
